code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t
3268350120732;http://world-fr.openfoodfacts.org/produit/3268350120732/p-tiwi-choc-chocolat-noir-le-moulin-du-pivert;P'tiwi Choc' chocolat noir;Le moulin du pivert;;d;Biscuits au chocolat noir;Biscuits;France;;;1489165465
3268350120824;http://world-fr.openfoodfacts.org/produit/3268350120824/equi-libre-petit-epautre-et-chocolat-le-moulin-du-pivert;Équi'libre petit épautre et chocolat;Le moulin du pivert;Satoriz;c;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0824/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0824/front.8.200.jpg;1435338451
3268350120855;http://world-fr.openfoodfacts.org/produit/3268350120855/p-tit-beurre-pepites-de-chocolat-bio-le-moulin-du-pivert;P'tit Beurre Pépites de Chocolat bio;Le moulin du pivert;;d;Biscuits au chocolat;Biscuits;France;;;1489162100
3268350120886;http://world-fr.openfoodfacts.org/produit/3268350120886/fourres-praline-le-moulin-du-pivert;Fourrés praliné;Le Moulin Du Pivert;;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;;;1509468996
3270160311446;http://world-fr.openfoodfacts.org/produit/3270160311446/sables-pur-beurre-a-l-heure-de;Sablés pur beurre;A l heure de,Picard;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés;Biscuits;France;http://fr.openfoodfacts.org/images/products/327/016/031/1446/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/327/016/031/1446/front.3.200.jpg;1504691816
3270160313181;http://world-fr.openfoodfacts.org/produit/3270160313181/dentelles-picard;Dentelles;Picard;;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/327/016/031/3181/front.10.400.jpg;http://fr.openfoodfacts.org/images/products/327/016/031/3181/front.10.200.jpg;1506572015
3270160317646;http://world-fr.openfoodfacts.org/produit/3270160317646/mini-flutes-feuilletees-emmental-picard;Mini-Flûtes Feuilletées Emmental;Picard,A l'heure de;Picard;e;Snacks sucrés,Biscuits et gâteaux,Snacks salés,Apéritif,Biscuits,Biscuits apéritifs,Biscuits feuilletés;Biscuits;France;;;1504692040
3270160800629;http://world-fr.openfoodfacts.org/produit/3270160800629/feuillets-a-la-canelle-picard;Feuillets à La Canelle;Picard;Picard;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits;Biscuits;France;;;1503748743
3270160801534;http://world-fr.openfoodfacts.org/produit/3270160801534/crepes-dentelle-enrobees-de-chocolat-au-lait-picard;Crêpes Dentelle Enrobées de Chocolat au Lait;Picard;Picard;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Crêpes et galettes,Biscuits au chocolat,Biscuits au chocolat au lait,Crêpes dentelle;Biscuits;France;;;1481632974
3270160850372;http://world-fr.openfoodfacts.org/produit/3270160850372/biscuits-etoiles-cannelle-picard;Biscuits Étoiles Cannelle;Picard;Picard;d;Snacks sucrés,Biscuits et gâteaux,Aliments et boissons de Noël,Biscuits,Bredeles;Biscuits;France;;;1510730641
3270160850631;http://world-fr.openfoodfacts.org/produit/3270160850631/galettes-bretonnes-pur-beurre-picard;Galettes Bretonnes Pur Beurre;Picard;Picard;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés;Biscuits;France;;;1510080432
3270160850938;http://world-fr.openfoodfacts.org/produit/3270160850938/biscuits-de-noel-picard;Biscuits de Noël;Picard;;e;Biscuits,Aliments et boissons de Noël,Biscuits sablés,Bredeles,Biscuits au chocolat au lait;Biscuits;France;;;1510761220
3270160852574;http://world-fr.openfoodfacts.org/produit/3270160852574/palmiers-pur-beurre-picard;Palmiers Pur Beurre;Picard;Picard;e;Palmiers,Biscuits feuilletés;Biscuits;France;;;1508930655
3270160859009;http://world-fr.openfoodfacts.org/produit/3270160859009/biscuits-petits-beurre-au-chocolat-au-lait-picard;Biscuits Petits-Beurre au Chocolat au Lait;Picard,A l'heure de;Picard;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait,Biscuits au beurre,Biscuits nappés;Biscuits;France;;;1504691955
3270190005759;http://world-fr.openfoodfacts.org/produit/3270190005759/choco-mania-carrefour;Choco Mania;Carrefour;Carrefour Market,Carrefour;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;http://fr.openfoodfacts.org/images/products/327/019/000/5759/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/327/019/000/5759/front.7.200.jpg;1492241784
